ozone,ozoneP,pm,pmP,diesel,dieselP,pest,pestP,traffic,trafficP,drink,drinkP,lead,leadP,haz,hazP,iwb,iwbP,swis,swisP,Pollution,PollutionScore,PollutionP,asthma,asthmaP,lbw,lbwP,cvd,cvdP,edu,eduP,pov,povP,unemp,unempP,housingB,housingBP
0.04368962,32.1966397,7.593331316,10.20535159,0.010076297,3.907902925,13.74592476,62.75862069,446.4754174,17.15,351.5253547,36.24328712,32.42067608,27.20856963,0.085,11.07875579,11,86.95926081,0,0,23.68912898,2.892437943,6.820161792,15.13,3.888334995,2.87,7.775211701,4.33,0.274177468,8.6,36.56036446,21.2,36.54522613,4,30.88235294,16.6,47.05956907
0.04125212,24.87865588,8.730061141,30.95208463,0.113665379,41.45612943,1.042787127,43.17241379,827.6990039,46.2,429.0756137,49.6190833,50.07627813,51.69502205,0.9,83.40172071,9,77.29945401,8,86.50630011,46.52657526,5.680885598,60.97075296,32.23,29.16251246,3.62,18.56556325,6.99,7.627118644,16.3,58.27638573,20.3,34.92462312,,,24,77.21166033
0.04050375,22.19041693,7.692740942,10.93963908,0.120007955,43.434972,47.02694949,71.89655172,789.567384,43.4375,271.5019468,17.70950418,41.55805684,39.25645873,0.2,35.6187955,5,51.21797564,0,0,32.95526426,4.02383122,23.97013068,11.97,1.520438684,3.97,25.90454196,5.91,3.065802592,1.2,2.708175146,12.7,16.31909548,9.1,82.32691307,19.3,60.10139417
0.03975537,20.84629745,7.653526825,10.64094586,0.063884958,23.64654636,0,0,1411.731596,75.7125,371.1433909,38.77856875,38.70573131,35.18588532,0.085,11.07875579,3,33.15833683,2,52.89805269,29.41652067,3.591751331,16.37834474,19.64,8.798604187,1.78,1.231716705,5.12,1.246261216,3.8,15.23664895,21.8,37.88944724,8,75.3774076,16.4,46.02027883
0.03975537,20.84629745,7.76615776,11.41257001,0.060198787,21.99128811,0,0,1002.094363,57.9125,266.4051922,17.28487573,50.38613494,52.16131065,0.36,57.45863666,3,33.15833683,2,52.89805269,33.26521919,4.061676655,24.91599253,17.46,5.857427717,3.38,14.21606364,5.14,1.283649053,19,63.00936472,28.7,51.74623116,,,16.5,46.46387833
0.03975537,20.84629745,7.786438769,11.58680772,0.064008673,23.69632856,0,0,498.4241123,20.775,266.4051922,17.28487573,51.39564484,53.42155009,0.25,43.29583058,7,66.73666527,0.3,12.87514318,28.58967856,3.490794073,14.847542,15.79,4.499002991,3.24,11.94508596,7.12,8.250249252,8,34.38370033,35,61.75879397,11.2,90.330557,14.9,38.09885932
0.03975537,20.84629745,8.023667054,13.69010579,0.353809049,81.49346609,0,0,1041.32441,60.5625,266.4051922,17.28487573,57.52104809,62.268431,0.405,61.7868961,7,66.73666527,6.75,81.58075601,48.61643005,5.936056453,66.78282514,23.02,13.21036889,5.32,60.27713626,5.83,2.779162512,27.6,77.05644141,42.7,73.00251256,2.9,15.83810515,20.5,64.81622307
0.04050375,22.19041693,8.224935121,16.76415681,0.324249436,78.83011823,5.199394578,54.62068966,922.1246881,53.1125,266.4051922,17.28487573,62.12339098,68.6452426,0.81,81.66776969,10,82.96934061,15.7,96.42611684,56.85343749,6.941793425,85.96141879,46.02,50.52342971,5.43,62.88170387,8.77,19.20488534,25.1,73.42444951,39,67.61306533,2.9,15.83810515,21.8,69.9112801
0.04050375,22.19041693,8.051064247,14.10080896,0.185185457,59.35283136,0,0,1065.169958,62.0625,266.4051922,17.28487573,62.30223633,68.8720857,0.47,67.04169424,3,33.15833683,0,0,33.46955031,4.086625445,25.43870566,25.15,16.76221336,4.49,38.49114704,5.94,3.302592223,17.6,60.73146039,30.4,54.54773869,1.2,1.900052056,20.8,66.07097592
0.03975537,20.84629745,8.118235086,15.10889857,0.221707399,65.81207218,0,0,1128.786127,65.45,266.4051922,17.28487573,63.42117281,70.6742281,0.34,54.82461946,3,33.15833683,0,0,33.28131422,4.063641856,24.95332918,52.67,59.88285145,5.49,64.17757249,11.53,42.48504487,10,41.85016452,37.3,65.07537688,6.5,62.40239459,25.1,80.46894804
0.03617549,11.68637212,7.233841958,8.00248911,0.024754776,8.69943995,6052.910247,97.34482759,316.9126069,9.2125,552.1368994,64.79330586,19.89157355,12.07309389,3.185,96.47915288,23,99.1600168,7.1,83.48224513,49.26842919,6.015665418,68.55009334,44.33,48.04336989,4.88,48.98639979,8.34,15.82751745,19,63.00936472,17.6,28.63065327,3.7,26.86100989,7.3,5.006337136
0.036244,13.61543248,7.472104708,9.520846297,0.052671281,19.141257,225.7713611,81.24137931,708.289708,36.775,335.2215447,32.55901087,26.87026775,20.21424071,0.2,35.6187955,0,0,1,35.71592211,26.13223588,3.190740811,10.44181705,41.11,43.3449651,2.79,6.889915319,10.31,32.41525424,7.3,31.35914958,18.1,29.7361809,5.9,56.19469027,11.7,21.57160963
0.036244,13.61543248,7.635794736,10.51649035,0.103641407,38.49408836,1378.979946,91.17241379,479.7134872,19.4125,335.2215447,32.55901087,32.18343072,26.76748582,0.125,21.95896757,18,97.52204956,0.7,24.83390607,30.85676015,3.767604285,19.71375233,41.11,43.3449651,6.6,85.0269438,10.31,32.41525424,2.6,8.985067072,20.5,35.35175879,11.1,89.92712129,8.4,8.035487959
0.03975537,20.84629745,7.872569912,12.25886745,0.13543794,47.31798382,0,0,591.308832,27.725,266.4051922,17.28487573,42.18283785,40.15122873,0.285,47.41230973,7,66.73666527,0.9,26.55211913,32.70181635,3.99288528,23.38518979,16.34,4.960119641,6.76,87.33641263,6.11,3.913260219,7.5,32.1564161,35.6,62.5879397,4.7,40.60385216,30.2,90.87452471
0.03975537,20.84629745,7.978935165,13.14250156,0.229370369,67.03173615,0,0,995.0325644,57.55,266.4051922,17.28487573,81.6683607,90.78764965,0.22,38.7028458,3,33.15833683,1.8,44.07789233,38.36177348,4.683964922,38.50653391,52.67,59.88285145,6.11,77.35437516,11.53,42.48504487,42,91.43254872,54.9,87.08542714,5.9,56.19469027,24.6,79.06210393
0.03975537,20.84629745,8.062231512,14.28749222,0.322254808,78.63098942,0,0,935.7018863,54.125,266.4051922,17.28487573,43.09463563,41.46187776,0.925,83.94440768,7,66.73666527,9.75,90.1489118,47.84280903,5.84159748,64.50528936,52.67,59.88285145,4.79,46.49730562,11.53,42.48504487,15.5,56.47937231,33.8,59.8241206,3.3,21.1087975,20.9,66.51457541
0.03975537,20.84629745,8.089139419,14.64841319,0.177841882,57.90914748,0,0,554.9432417,25.0875,266.4051922,17.28487573,39.22359341,35.95463138,1.385,89.58305758,7,66.73666527,15.25,96.26575029,44.86650016,5.478190758,56.31611699,46.07,50.59820538,6.07,76.63587375,10,29.93519442,15.6,56.73247279,37.5,65.41457286,7.4,70.90057262,15.8,42.82636248
